error_contribution_rank,split,label,insect_name,support,false_negative,error_rate,precision,recall,f1_score,top1_wrong_class,top1_wrong_count,top1_wrong_rate,error_share,cumulative_errors,cumulative_error_share
92,train,100,Sternochetus frigidus,274,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
93,train,73,Papilio xuthus,269,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
94,train,88,Phyllocnistis citrella Stainton,242,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
95,train,34,wheat sawfly,203,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
96,train,87,Adristyrannus,186,0,0.000000,0.994652,1.000000,0.997319,,0,0.000000,0.000000,567,1.000000
97,train,78,Ceroplastes rubens,154,0,0.000000,0.993548,1.000000,0.996764,,0,0.000000,0.000000,567,1.000000
98,train,79,Chrysomphalus aonidum,135,0,0.000000,0.985401,1.000000,0.992647,,0,0.000000,0.000000,567,1.000000
99,train,96,Deporaus marginatus Pascoe,126,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
100,train,12,grain spreader thrips,103,0,0.000000,0.980952,1.000000,0.990385,,0,0.000000,0.000000,567,1.000000
101,train,65,parathrene regalis,84,0,0.000000,1.000000,1.000000,1.000000,,0,0.000000,0.000000,567,1.000000
102,train,72,Erythroneura apicalis,42,0,0.000000,0.976744,1.000000,0.988235,,0,0.000000,0.000000,567,1.000000
