difficulty_rank,split,label,insect_name,support,true_positive,false_negative,predicted_total,false_positive,precision,recall,f1_score,error_rate,top1_wrong_label,top1_wrong_class,top1_wrong_count,top1_wrong_rate,top1_share_of_class_errors,top2_wrong_label,top2_wrong_class,top2_wrong_count,top2_wrong_rate,top2_share_of_class_errors,top3_wrong_label,top3_wrong_class,top3_wrong_count,top3_wrong_rate,top3_share_of_class_errors,top4_wrong_label,top4_wrong_class,top4_wrong_count,top4_wrong_rate,top4_share_of_class_errors,top5_wrong_label,top5_wrong_class,top5_wrong_count,top5_wrong_rate,top5_share_of_class_errors
11,train,96,Deporaus marginatus Pascoe,126,83,43,83,0,1.000000,0.658730,0.794258,0.341270,42,beet weevil,15,0.119048,0.348837,100,Sternochetus frigidus,11,0.087302,0.255814,51,blister beetle,6,0.047619,0.139535,10,rice water weevil,2,0.015873,0.046512,24,aphids,2,0.015873,0.046512
12,train,98,Mango flat beak leafhopper,55,37,18,38,1,0.973684,0.672727,0.795699,0.327273,101,Cicadellidae,16,0.290909,0.888889,69,Cicadella viridis,2,0.036364,0.111111,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
13,train,72,Erythroneura apicalis,42,29,13,30,1,0.966667,0.690476,0.805556,0.309524,101,Cicadellidae,13,0.309524,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
14,train,81,Nipaecoccus vastalor,59,42,17,42,0,1.000000,0.711864,0.831683,0.288136,64,Pseudococcus comstocki Kuwana,10,0.169492,0.588235,76,Icerya purchasi Maskell,5,0.084746,0.294118,94,Lawana imitata Melichar,2,0.033898,0.117647,,,0,0.000000,0.000000,,,0,0.000000,0.000000
15,train,55,alfalfa seed chalcid,111,81,30,81,0,1.000000,0.729730,0.843750,0.270270,70,Miridae,6,0.054054,0.200000,38,cabbage army worm,3,0.027027,0.100000,67,Lycorma delicatula,3,0.027027,0.100000,14,grub,2,0.018018,0.066667,40,Beet spot flies,2,0.018018,0.066667
16,train,43,sericaorient alismots chulsky,114,87,27,87,0,1.000000,0.763158,0.865672,0.236842,25,Potosiabre vitarsis,8,0.070175,0.296296,37,flea beetle,6,0.052632,0.222222,50,legume blister beetle,4,0.035088,0.148148,14,grub,3,0.026316,0.111111,16,wireworm,3,0.026316,0.111111
17,train,31,penthaleus major,139,111,28,112,1,0.991071,0.798561,0.884462,0.201439,74,Panonchus citri McGregor,7,0.050360,0.250000,24,aphids,6,0.043165,0.214286,21,red spider,4,0.028777,0.142857,10,rice water weevil,3,0.021583,0.107143,27,english grain aphid,2,0.014388,0.071429
18,train,33,wheat phloeothrips,175,175,0,210,35,0.833333,1.000000,0.909091,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
19,train,79,Chrysomphalus aonidum,135,113,22,113,0,1.000000,0.837037,0.911290,0.162963,77,Unaspis yanonensis,12,0.088889,0.545455,78,Ceroplastes rubens,2,0.014815,0.090909,14,grub,1,0.007407,0.045455,29,bird cherry-oataphid,1,0.007407,0.045455,37,flea beetle,1,0.007407,0.045455
20,train,83,Tetradacus c Bactrocera minax,232,232,0,274,42,0.846715,1.000000,0.916996,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
21,train,2,paddy stem maggot,156,156,0,181,25,0.861878,1.000000,0.925816,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
22,train,80,Parlatoria zizyphus Lucus,44,38,6,38,0,1.000000,0.863636,0.926829,0.136364,82,Aleurocanthus spiniferus,4,0.090909,0.666667,77,Unaspis yanonensis,2,0.045455,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
23,train,74,Panonchus citri McGregor,231,231,0,266,35,0.868421,1.000000,0.929577,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
24,train,63,Polyphagotars onemus latus,50,44,6,44,0,1.000000,0.880000,0.936170,0.120000,92,Scirtothrips dorsalis Hood,3,0.060000,0.500000,10,rice water weevil,1,0.020000,0.166667,24,aphids,1,0.020000,0.166667,44,alfalfa weevil,1,0.020000,0.166667,,,0,0.000000,0.000000
25,train,65,parathrene regalis,84,74,10,74,0,1.000000,0.880952,0.936709,0.119048,26,peach borer,3,0.035714,0.300000,68,Xylotrechus,2,0.023810,0.200000,1,rice leaf caterpillar,1,0.011905,0.100000,4,yellow rice borer,1,0.011905,0.100000,67,Lycorma delicatula,1,0.011905,0.100000
26,train,21,red spider,317,317,0,359,42,0.883008,1.000000,0.937870,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
27,train,59,Viteus vitifoliae,212,212,0,239,27,0.887029,1.000000,0.940133,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
28,train,40,Beet spot flies,179,179,0,199,20,0.899497,1.000000,0.947090,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
29,train,91,Aphis citricola Vander Goot,210,210,0,232,22,0.905172,1.000000,0.950226,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
30,train,61,Brevipoalpus lewisi McGregor,47,43,4,43,0,1.000000,0.914894,0.955556,0.085106,74,Panonchus citri McGregor,3,0.063830,0.750000,21,red spider,1,0.021277,0.250000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
31,train,54,Thrips,527,526,1,573,47,0.917976,0.998102,0.956364,0.001898,33,wheat phloeothrips,1,0.001898,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
32,train,42,beet weevil,184,184,0,199,15,0.924623,1.000000,0.960836,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
33,train,6,Rice Stemfly,221,221,0,239,18,0.924686,1.000000,0.960870,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
34,train,20,yellow cutworm,287,286,1,305,19,0.937705,0.996516,0.966216,0.003484,19,large cutworm,1,0.003484,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
35,train,29,bird cherry-oataphid,424,424,0,452,28,0.938053,1.000000,0.968037,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
36,train,18,black cutworm,512,512,0,545,33,0.939450,1.000000,0.968780,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
37,train,75,Phyllocoptes oleiverus ashmead,103,97,6,97,0,1.000000,0.941748,0.970000,0.058252,71,Trialeurodes vaporariorum,2,0.019417,0.333333,39,beet army worm,1,0.009709,0.166667,59,Viteus vitifoliae,1,0.009709,0.166667,67,Lycorma delicatula,1,0.009709,0.166667,77,Unaspis yanonensis,1,0.009709,0.166667
38,train,28,green bug,195,195,0,207,12,0.942029,1.000000,0.970149,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
39,train,77,Unaspis yanonensis,251,251,0,266,15,0.943609,1.000000,0.970986,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
40,train,84,Dacus dorsalis(Hendel),263,263,0,278,15,0.946043,1.000000,0.972274,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
41,train,64,Pseudococcus comstocki Kuwana,184,184,0,194,10,0.948454,1.000000,0.973545,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
42,train,92,Scirtothrips dorsalis Hood,484,484,0,509,25,0.950884,1.000000,0.974824,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
43,train,19,large cutworm,294,293,1,305,12,0.960656,0.996599,0.978297,0.003401,23,army worm,1,0.003401,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
44,train,100,Sternochetus frigidus,274,274,0,285,11,0.961404,1.000000,0.980322,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
45,train,24,aphids,2456,2456,0,2539,83,0.967310,1.000000,0.983383,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
46,train,27,english grain aphid,392,392,0,404,12,0.970297,1.000000,0.984925,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
47,train,25,Potosiabre vitarsis,339,339,0,347,8,0.976945,1.000000,0.988338,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
48,train,78,Ceroplastes rubens,154,154,0,157,3,0.980892,1.000000,0.990354,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
49,train,52,therioaphis maculata Buckton,156,156,0,159,3,0.981132,1.000000,0.990476,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
50,train,14,grub,516,516,0,525,9,0.982857,1.000000,0.991354,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
51,train,37,flea beetle,473,473,0,481,8,0.983368,1.000000,0.991614,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
52,train,5,rice gall midge,303,303,0,308,5,0.983766,1.000000,0.991817,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
53,train,76,Icerya purchasi Maskell,433,433,0,439,6,0.986333,1.000000,0.993119,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
54,train,44,alfalfa weevil,314,314,0,318,4,0.987421,1.000000,0.993671,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
55,train,9,small brown plant hopper,331,330,1,333,3,0.990991,0.996979,0.993976,0.003021,7,brown plant hopper,1,0.003021,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
56,train,82,Aleurocanthus spiniferus,414,414,0,419,5,0.988067,1.000000,0.993998,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
57,train,10,rice water weevil,513,513,0,519,6,0.988439,1.000000,0.994186,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
58,train,1,rice leaf caterpillar,292,292,0,295,3,0.989831,1.000000,0.994889,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
59,train,86,Prodenia litura,782,782,0,790,8,0.989873,1.000000,0.994911,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
60,train,7,brown plant hopper,500,497,3,499,2,0.995992,0.994000,0.994995,0.006000,9,small brown plant hopper,2,0.004000,0.666667,8,white backed plant hopper,1,0.002000,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
61,train,34,wheat sawfly,203,203,0,205,2,0.990244,1.000000,0.995098,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
62,train,38,cabbage army worm,513,513,0,518,5,0.990347,1.000000,0.995150,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
63,train,71,Trialeurodes vaporariorum,415,415,0,419,4,0.990453,1.000000,0.995204,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
64,train,101,Cicadellidae,3444,3441,3,3471,30,0.991357,0.999129,0.995228,0.000871,7,brown plant hopper,1,0.000290,0.333333,72,Erythroneura apicalis,1,0.000290,0.333333,98,Mango flat beak leafhopper,1,0.000290,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000
65,train,8,white backed plant hopper,535,535,0,540,5,0.990741,1.000000,0.995349,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
66,train,99,Rhytidodera bowrinii white,333,333,0,336,3,0.991071,1.000000,0.995516,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
67,train,51,blister beetle,1138,1138,0,1148,10,0.991289,1.000000,0.995626,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
68,train,57,Apolygus lucorum,228,228,0,230,2,0.991304,1.000000,0.995633,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
69,train,50,legume blister beetle,845,845,0,852,7,0.991784,1.000000,0.995875,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
70,train,16,wireworm,532,532,0,536,4,0.992537,1.000000,0.996255,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
71,train,26,peach borer,414,414,0,417,3,0.992806,1.000000,0.996390,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
72,train,93,Dasineura sp,303,303,0,305,2,0.993443,1.000000,0.996711,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
73,train,41,meadow moth,162,162,0,163,1,0.993865,1.000000,0.996923,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
74,train,0,rice leaf roller,669,669,0,673,4,0.994056,1.000000,0.997019,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
75,train,94,Lawana imitata Melichar,346,346,0,348,2,0.994253,1.000000,0.997118,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
76,train,97,Chlumetia transversa,183,183,0,184,1,0.994565,1.000000,0.997275,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
77,train,39,beet army worm,962,962,0,967,5,0.994829,1.000000,0.997408,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
78,train,68,Xylotrechus,690,690,0,693,3,0.995671,1.000000,0.997831,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
79,train,88,Phyllocnistis citrella Stainton,242,242,0,243,1,0.995885,1.000000,0.997938,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
80,train,13,rice shell pest,245,245,0,246,1,0.995935,1.000000,0.997963,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
81,train,70,Miridae,3048,3047,1,3058,11,0.996403,0.999672,0.998035,0.000328,57,Apolygus lucorum,1,0.000328,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
82,train,56,Pieris canidia,281,281,0,282,1,0.996454,1.000000,0.998224,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
83,train,4,yellow rice borer,302,302,0,303,1,0.996700,1.000000,0.998347,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
84,train,67,Lycorma delicatula,3186,3185,1,3194,9,0.997182,0.999686,0.998433,0.000314,86,Prodenia litura,1,0.000314,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
85,train,45,flax budworm,639,639,0,641,2,0.996880,1.000000,0.998437,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
86,train,69,Cicadella viridis,767,767,0,769,2,0.997399,1.000000,0.998698,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
87,train,46,alfalfa plant bug,393,392,1,392,0,1.000000,0.997455,0.998726,0.002545,52,therioaphis maculata Buckton,1,0.002545,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
88,train,48,Locustoidea,836,836,0,838,2,0.997613,1.000000,0.998805,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
89,train,15,mole cricket,989,989,0,991,2,0.997982,1.000000,0.998990,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
90,train,3,asiatic rice borer,631,631,0,632,1,0.998418,1.000000,0.999208,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
91,train,23,army worm,642,642,0,643,1,0.998445,1.000000,0.999222,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
92,train,22,corn borer,1018,1018,0,1019,1,0.999019,1.000000,0.999509,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
93,train,58,Limacodidae,840,840,0,840,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
94,train,47,tarnished plant bug,492,492,0,492,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
95,train,66,Ampelophaga,458,458,0,458,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
96,train,49,lytta polita,392,392,0,392,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
97,train,95,Salurnis marginella Guerr,292,292,0,292,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
98,train,30,wheat blossom midge,291,291,0,291,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
99,train,73,Papilio xuthus,269,269,0,269,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
100,train,11,rice leafhopper,242,242,0,242,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
101,train,87,Adristyrannus,186,186,0,186,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
102,train,62,oides decempunctata,169,169,0,169,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
